strategy,coverage,accepted_mae
RICA2 uncertainty,0.06275033377837116,6.112451011354617
RICA2 uncertainty,0.06408544726301736,6.034065561772632
RICA2 uncertainty,0.06542056074766354,6.040584957873333
RICA2 uncertainty,0.06675567423230974,5.933255910903212
RICA2 uncertainty,0.06809078771695594,5.890540263261278
RICA2 uncertainty,0.06942590120160214,5.7836890720977205
RICA2 uncertainty,0.07076101468624833,5.698302467645337
RICA2 uncertainty,0.07209612817089453,5.705406640911542
RICA2 uncertainty,0.07343124165554073,5.668971351818603
RICA2 uncertainty,0.07476635514018691,5.611363557752751
RICA2 uncertainty,0.07610146862483311,5.64181276970265
RICA2 uncertainty,0.0774365821094793,5.544652451394958
RICA2 uncertainty,0.0787716955941255,5.45452491077831
RICA2 uncertainty,0.0801068090787717,5.369991612161197
RICA2 uncertainty,0.0814419225634179,5.371439461898605
RICA2 uncertainty,0.08277703604806408,5.293992918417335
RICA2 uncertainty,0.08411214953271028,5.256367500126359
RICA2 uncertainty,0.08544726301735647,5.2356249861186335
RICA2 uncertainty,0.08678237650200267,5.168754766606364
RICA2 uncertainty,0.08811748998664887,5.343885948508974
RICA2 uncertainty,0.08945260347129506,5.298379073292012
RICA2 uncertainty,0.09078771695594126,5.245793837133571
RICA2 uncertainty,0.09212283044058744,5.192364250134295
RICA2 uncertainty,0.09345794392523364,5.1314951154908925
RICA2 uncertainty,0.09479305740987984,5.168286791559252
RICA2 uncertainty,0.09612817089452604,5.11984563750318
RICA2 uncertainty,0.09746328437917223,5.189179338065725
RICA2 uncertainty,0.09879839786381843,5.584975975349138
RICA2 uncertainty,0.10013351134846461,5.631559341907497
RICA2 uncertainty,0.10146862483311081,5.5727124576113685
RICA2 uncertainty,0.102803738317757,5.61428392904919
RICA2 uncertainty,0.1041388518024032,5.581092704374052
RICA2 uncertainty,0.1054739652870494,5.533653729795651
RICA2 uncertainty,0.1068090787716956,5.562651557307686
RICA2 uncertainty,0.1081441922563418,5.544387276360277
RICA2 uncertainty,0.10947930574098798,5.553706925653098
RICA2 uncertainty,0.11081441922563418,5.540629772662394
RICA2 uncertainty,0.11214953271028037,5.5350520965421435
RICA2 uncertainty,0.11348464619492657,5.55881098142441
RICA2 uncertainty,0.11481975967957277,5.502804949238544
RICA2 uncertainty,0.11615487316421896,5.508625037283043
RICA2 uncertainty,0.11748998664886515,5.465993909588587
RICA2 uncertainty,0.11882510013351134,5.443484716117377
RICA2 uncertainty,0.12016021361815754,5.385452856404909
RICA2 uncertainty,0.12149532710280374,5.334879849687376
RICA2 uncertainty,0.12283044058744993,5.352819337971178
RICA2 uncertainty,0.12416555407209613,5.354497282912008
RICA2 uncertainty,0.12550066755674233,5.376424505276243
RICA2 uncertainty,0.1268357810413885,5.378063770893368
RICA2 uncertainty,0.12817089452603472,5.41547899722742
RICA2 uncertainty,0.1295060080106809,5.370616878968533
RICA2 uncertainty,0.1308411214953271,5.433369463971069
RICA2 uncertainty,0.1321762349799733,5.434019027499834
RICA2 uncertainty,0.13351134846461948,5.516399948522443
RICA2 uncertainty,0.1348464619492657,5.53176353510358
RICA2 uncertainty,0.13618157543391188,5.500264899067429
RICA2 uncertainty,0.1375166889185581,5.48587098458727
RICA2 uncertainty,0.13885180240320427,5.440294825529245
RICA2 uncertainty,0.14018691588785046,5.4247521511713614
RICA2 uncertainty,0.14152202937249667,5.38812120568077
RICA2 uncertainty,0.14285714285714285,5.452578458162107
RICA2 uncertainty,0.14419225634178906,5.4415407984345
RICA2 uncertainty,0.14552736982643524,5.421684413656177
RICA2 uncertainty,0.14686248331108145,5.407255451679225
RICA2 uncertainty,0.14819759679572764,5.386082002332614
RICA2 uncertainty,0.14953271028037382,5.366031081442317
RICA2 uncertainty,0.15086782376502003,5.321289242922727
RICA2 uncertainty,0.15220293724966621,5.281585430327733
RICA2 uncertainty,0.15353805073431243,5.266956458856226
RICA2 uncertainty,0.1548731642189586,5.223884183399632
RICA2 uncertainty,0.15620827770360482,5.205841064886147
RICA2 uncertainty,0.157543391188251,5.238024851250443
RICA2 uncertainty,0.1588785046728972,5.2568727514573474
RICA2 uncertainty,0.1602136181575434,5.252074252491194
RICA2 uncertainty,0.16154873164218958,5.308863917978339
RICA2 uncertainty,0.1628838451268358,5.280118066261779
RICA2 uncertainty,0.16421895861148197,5.27589569405569
RICA2 uncertainty,0.16555407209612816,5.248116640734573
RICA2 uncertainty,0.16688918558077437,5.263804352056977
RICA2 uncertainty,0.16822429906542055,5.270127511337869
RICA2 uncertainty,0.16955941255006676,5.268780531593427
RICA2 uncertainty,0.17089452603471295,5.268629793619036
RICA2 uncertainty,0.17222963951935916,5.277099748897227
RICA2 uncertainty,0.17356475300400534,5.258659219724625
RICA2 uncertainty,0.17489986648865152,5.234526005392991
RICA2 uncertainty,0.17623497997329773,5.228245013032218
RICA2 uncertainty,0.17757009345794392,5.261099376070093
RICA2 uncertainty,0.17890520694259013,5.269165168786001
RICA2 uncertainty,0.1802403204272363,5.35864790667538
RICA2 uncertainty,0.18157543391188252,5.3453409692655995
RICA2 uncertainty,0.1829105473965287,5.339924105050135
RICA2 uncertainty,0.1842456608811749,5.309526841822954
RICA2 uncertainty,0.1855807743658211,5.33940117644856
RICA2 uncertainty,0.18691588785046728,5.3340766637080455
RICA2 uncertainty,0.1882510013351135,5.306195804085712
RICA2 uncertainty,0.18958611481975968,5.295875408206604
RICA2 uncertainty,0.1909212283044059,5.276773842158431
RICA2 uncertainty,0.19225634178905207,5.285085834324771
RICA2 uncertainty,0.19359145527369825,5.256888556398191
RICA2 uncertainty,0.19492656875834447,5.227405419659938
RICA2 uncertainty,0.19626168224299065,5.194001395118476
RICA2 uncertainty,0.19759679572763686,5.245052344694327
RICA2 uncertainty,0.19893190921228304,5.239759233753949
RICA2 uncertainty,0.20026702269692923,5.217529074847693
RICA2 uncertainty,0.20160213618157544,5.221185494436329
RICA2 uncertainty,0.20293724966622162,5.278239368470871
RICA2 uncertainty,0.20427236315086783,5.244318174400356
RICA2 uncertainty,0.205607476635514,5.293765367180491
RICA2 uncertainty,0.20694259012016022,5.3166225353556245
RICA2 uncertainty,0.2082777036048064,5.30667311774614
RICA2 uncertainty,0.2096128170894526,5.287679882224193
RICA2 uncertainty,0.2109479305740988,5.267821813950051
RICA2 uncertainty,0.21228304405874499,5.253638133856481
RICA2 uncertainty,0.2136181575433912,5.232042610291387
RICA2 uncertainty,0.21495327102803738,5.205877807218091
